epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
81,2883.9,1.70304,0.66449,0.19293,2.04036,0.00982,4.30362,0.50977,0.47449,0.41189,0.17747,0.54177,0.48469,0.43627,0.40683,1.70798,0.61192,0.04615,2.27428,0.01178,0,0.000416,0.000416,0.000416
82,2941.68,1.66323,0.49727,0.17224,1.87541,0.00945,3.74426,0.48962,0.45408,0.39085,0.18938,0.52001,0.5,0.43033,0.39695,1.70863,0.59098,0.04476,2.21713,0.01197,0,0.0003962,0.0003962,0.0003962
83,2973.36,1.64334,0.46487,0.18212,1.85761,0.00958,4.04065,0.44466,0.47959,0.40562,0.19723,0.48848,0.53571,0.44558,0.41289,1.72961,0.58529,0.04459,2.22467,0.01197,0,0.0003764,0.0003764,0.0003764
84,3004.26,1.67619,0.5898,0.18804,1.8582,0.00995,4.01709,0.43559,0.46429,0.39207,0.18446,0.45921,0.52551,0.43224,0.40334,1.65423,0.59999,0.04576,2.28793,0.01139,0,0.0003566,0.0003566,0.0003566
85,3042.04,1.70283,0.58372,0.18175,1.87421,0.01006,4.06146,0.48225,0.43246,0.38451,0.18301,0.50071,0.45539,0.41525,0.3882,1.65971,0.59804,0.04531,2.22211,0.01153,0,0.0003368,0.0003368,0.0003368
86,3072.89,1.61856,0.52224,0.14707,1.8585,0.0095,3.9026,0.46196,0.4949,0.39801,0.18479,0.48612,0.5,0.42198,0.3938,1.67035,0.60012,0.04392,2.22662,0.01151,0,0.000317,0.000317,0.000317
87,3104.46,1.63791,0.43881,0.19232,1.72612,0.00949,3.65227,0.49151,0.4898,0.41784,0.18717,0.52385,0.52203,0.44849,0.41686,1.70597,0.5995,0.0437,2.24034,0.01174,0,0.0002972,0.0002972,0.0002972
88,3136.4,1.64496,0.56566,0.15583,1.86517,0.00957,4.03432,0.43297,0.51425,0.39279,0.188,0.46734,0.55507,0.44959,0.4128,1.73841,0.6161,0.03967,2.17385,0.01224,0,0.0002774,0.0002774,0.0002774
89,3173.07,1.65217,0.56286,0.18027,1.79438,0.00942,3.87374,0.42652,0.5102,0.39068,0.18949,0.50727,0.48849,0.44205,0.41012,1.70513,0.63716,0.04269,2.23136,0.01191,0,0.0002576,0.0002576,0.0002576
90,3204.26,1.62145,0.45492,0.14888,1.76236,0.00956,3.71592,0.45952,0.45547,0.39781,0.19061,0.45906,0.5102,0.4375,0.4074,1.68642,0.63119,0.04277,2.21221,0.01176,0,0.0002378,0.0002378,0.0002378
91,3242.91,1.60503,0.35489,0.07867,1.77442,0.01136,4.28998,0.44479,0.46939,0.38807,0.1898,0.45466,0.5051,0.43077,0.40095,1.67874,0.59569,0.04305,2.19823,0.0117,0,0.000218,0.000218,0.000218
92,3279.61,1.58977,0.3457,0.06119,1.66536,0.01137,4.33287,0.44186,0.46429,0.38543,0.18612,0.46435,0.5,0.4255,0.39481,1.67911,0.57038,0.04261,2.21011,0.01175,0,0.0001982,0.0001982,0.0001982
93,3316.24,1.54097,0.39365,0.06952,1.71878,0.01116,4.4932,0.46242,0.46429,0.39596,0.18702,0.46322,0.5,0.43036,0.39789,1.70968,0.60349,0.04123,2.19674,0.01179,0,0.0001784,0.0001784,0.0001784
94,3353.5,1.51769,0.29209,0.06225,1.60122,0.01045,4.00888,0.47019,0.5051,0.40137,0.18746,0.473,0.53061,0.43476,0.40246,1.71321,0.57967,0.03878,2.14225,0.01185,0,0.0001586,0.0001586,0.0001586
95,3392.27,1.55546,0.31132,0.06838,1.57623,0.01121,4.27649,0.48544,0.4669,0.39553,0.18807,0.50991,0.4949,0.43711,0.40686,1.72738,0.60095,0.0383,2.11491,0.01195,0,0.0001388,0.0001388,0.0001388
96,3423.21,1.53417,0.3327,0.06964,1.57714,0.01077,4.19276,0.51137,0.47959,0.4119,0.19154,0.52295,0.5051,0.4425,0.41163,1.7158,0.60723,0.03773,2.11783,0.01192,0,0.000119,0.000119,0.000119
97,3459.79,1.53515,0.29548,0.06158,1.59709,0.01103,4.22177,0.50604,0.47564,0.41494,0.19115,0.53739,0.5051,0.44761,0.41273,1.70113,0.60955,0.03728,2.13179,0.01183,0,9.92e-05,9.92e-05,9.92e-05
98,3494.62,1.53777,0.35086,0.07375,1.57904,0.01084,4.30918,0.50631,0.48662,0.40884,0.19391,0.53956,0.51531,0.44432,0.411,1.69328,0.60772,0.03658,2.13328,0.01178,0,7.94e-05,7.94e-05,7.94e-05
99,3531.67,1.52876,0.35984,0.06245,1.5946,0.01045,4.03173,0.48433,0.5102,0.41437,0.19335,0.52876,0.52041,0.4467,0.41314,1.69506,0.60901,0.03542,2.13602,0.01175,0,5.96e-05,5.96e-05,5.96e-05
100,3563.24,1.52659,0.34805,0.06503,1.57614,0.01113,3.98925,0.47197,0.52041,0.4169,0.19379,0.51245,0.52551,0.44985,0.41593,1.69648,0.61243,0.03588,2.13632,0.01175,0,3.98e-05,3.98e-05,3.98e-05
