epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
80,906.298,1.35845,0.9064,0.20252,1.09919,0.00745,5.82892,0.64688,0.47761,0.5416,0.27085,0.655,0.49254,0.56609,0.43356,1.57491,1.09087,0.13157,1.98187,0.0103,0,0.0004358,0.0004358,0.0004358
81,917.53,1.33565,0.92781,0.19149,1.07385,0.00778,6.15413,0.58284,0.50746,0.48706,0.24474,0.61425,0.53731,0.55814,0.42351,1.66413,1.1381,0.13684,1.94079,0.01089,0,0.000416,0.000416,0.000416
82,928.772,1.36628,0.88204,0.18812,1.0726,0.00761,5.96949,0.52198,0.58209,0.5457,0.26292,0.53536,0.59701,0.56955,0.44131,1.62503,1.12446,0.13529,1.83876,0.01066,0,0.0003962,0.0003962,0.0003962
83,938.687,1.39685,1.01991,0.20365,1.1156,0.00774,6.08695,0.52863,0.61194,0.56204,0.29006,0.54173,0.62687,0.57867,0.4522,1.43244,0.99599,0.12648,1.85825,0.00946,0,0.0003764,0.0003764,0.0003764
84,950.329,1.42719,1.01454,0.20369,1.0959,0.00809,6.1386,0.52708,0.58221,0.54091,0.27153,0.54189,0.59701,0.55578,0.43541,1.50276,1.06844,0.142,1.92685,0.00982,0,0.0003566,0.0003566,0.0003566
85,962.077,1.38873,0.88314,0.19058,1.0303,0.00819,6.15053,0.48363,0.59701,0.53153,0.2532,0.49675,0.61194,0.54694,0.41997,1.6025,1.13192,0.0759,1.92514,0.01059,0,0.0003368,0.0003368,0.0003368
86,973.083,1.33654,0.93927,0.17453,0.98033,0.00755,6.07445,0.49732,0.59701,0.52026,0.26253,0.50975,0.61194,0.53334,0.41422,1.55083,1.12526,0.06001,1.83562,0.01036,0,0.000317,0.000317,0.000317
87,983.12,1.3784,0.92904,0.22092,1.07248,0.00779,6.10126,0.51006,0.53731,0.50723,0.25679,0.48491,0.58209,0.51986,0.40499,1.55022,1.13524,0.05875,1.84508,0.01032,0,0.0002972,0.0002972,0.0002972
88,994.445,1.3771,0.95879,0.20785,1.0951,0.00786,6.25484,0.50776,0.52239,0.52668,0.27324,0.47782,0.61194,0.54236,0.43286,1.50014,1.10639,0.06062,1.88659,0.00998,0,0.0002774,0.0002774,0.0002774
89,1005.52,1.41058,0.91419,0.21276,1.06402,0.00816,5.92607,0.56599,0.47761,0.52718,0.26668,0.49748,0.61194,0.54486,0.43626,1.48997,1.14942,0.07472,1.8882,0.00994,0,0.0002576,0.0002576,0.0002576
90,1015.7,1.29257,0.83565,0.1954,0.9377,0.00746,5.87787,0.56371,0.50746,0.53455,0.26414,0.56336,0.53922,0.55364,0.43655,1.48535,1.16246,0.07716,1.90069,0.00987,0,0.0002378,0.0002378,0.0002378
91,1029.36,1.3805,0.76658,0.0721,0.80962,0.00981,6.78666,0.55107,0.53731,0.52823,0.26905,0.54081,0.55224,0.54604,0.4285,1.50528,1.1192,0.06643,1.87127,0.01009,0,0.000218,0.000218,0.000218
92,1040.54,1.39215,0.77923,0.06231,0.82308,0.0097,6.67499,0.53169,0.53731,0.52159,0.25549,0.54729,0.55224,0.53824,0.42193,1.58767,1.12696,0.06048,1.86335,0.01076,0,0.0001982,0.0001982,0.0001982
93,1051.73,1.31483,0.7155,0.06244,0.7485,0.00918,6.47387,0.56394,0.52118,0.51004,0.25553,0.49556,0.59701,0.53208,0.41321,1.58499,1.16395,0.05552,1.82452,0.01051,0,0.0001784,0.0001784,0.0001784
94,1062.38,1.28921,0.76877,0.05883,0.76032,0.00896,6.63277,0.5672,0.49254,0.50423,0.23979,0.49509,0.60006,0.52586,0.40731,1.71217,1.19519,0.04951,1.81298,0.01123,0,0.0001586,0.0001586,0.0001586
95,1072.77,1.26273,0.78269,0.08399,0.75995,0.0087,6.55224,0.5873,0.49254,0.50234,0.24333,0.4753,0.61194,0.52386,0.40935,1.62638,1.18416,0.05124,1.83667,0.01067,0,0.0001388,0.0001388,0.0001388
96,1083.97,1.16598,0.73617,0.05141,0.69899,0.00802,6.51896,0.57222,0.47919,0.50291,0.26199,0.47163,0.6395,0.52367,0.4101,1.5113,1.15148,0.05456,1.82179,0.00999,0,0.000119,0.000119,0.000119
97,1094.94,1.16294,0.70812,0.06623,0.68824,0.00834,6.55379,0.54416,0.49254,0.50059,0.26243,0.47983,0.61194,0.52123,0.40799,1.49946,1.1471,0.05147,1.85189,0.00997,0,9.92e-05,9.92e-05,9.92e-05
98,1104.92,1.22167,0.79005,0.06135,0.71727,0.00846,6.57331,0.54504,0.50072,0.50762,0.26866,0.48706,0.61194,0.52833,0.4118,1.50233,1.14433,0.04994,1.85808,0.00998,0,7.94e-05,7.94e-05,7.94e-05
99,1116.08,1.2036,0.76626,0.0633,0.7214,0.00898,6.83743,0.47426,0.59701,0.50667,0.25956,0.48735,0.61194,0.52795,0.40989,1.52029,1.15879,0.05058,1.86259,0.01008,0,5.96e-05,5.96e-05,5.96e-05
100,1127.11,1.20235,0.71873,0.04202,0.70641,0.00847,6.4392,0.47258,0.56716,0.51127,0.26741,0.48502,0.58209,0.53306,0.41442,1.55785,1.16597,0.05091,1.83829,0.01027,0,3.98e-05,3.98e-05,3.98e-05
